round,t,secsLeft,btc,strike,upProb,height
1,3.2,14.8,79334.125,79317.05,0.943,
1,4.5,13.6,79342.01500000001,79317.05,0.959,
1,7.2,10.9,79341.845,79317.05,0.9715,
1,9.2,8.9,79336.32,79317.05,0.9545,
1,10.4,7.6,79337.4,79317.05,0.9665,
1,11.8,6.3,79336.095,79317.05,,
1,12.9,5.2,79338.845,79317.05,,
1,14.1,4.0,79338.845,79317.05,,
1,15.3,2.8,79338.40000000001,79317.05,,
1,16.6,1.5,79339.1975,79317.05,,
1,17.8,0.3,79334.90500000001,79317.05,,
1,18.9,0.0,79334.93000000001,79317.05,,
2,22.3,55.8,79333.565,79334.93,,
2,23.5,54.6,79335.65,79334.93,0.45,0.5
2,24.7,53.4,79335.65,79334.93,0.45,0.5
2,25.8,52.3,79335.7,79334.93,0.45,0.5
2,27.0,51.1,79335.7,79334.93,0.45,0.5
2,28.1,49.9,79335.7,79334.93,0.45,0.5
2,29.3,48.8,79335.75,79334.93,0.45,0.5
2,30.5,47.6,79335.75,79334.93,0.45,0.5
2,31.7,46.4,79335.84999999999,79334.93,0.45,0.5
2,32.9,45.2,79335.95,79334.93,0.445,0.4944135821733974
2,34.0,44.0,79336.09999999999,79334.93,0.469,0.5206658129389458
2,35.2,42.9,79336.17499999999,79334.93,0.469,0.5206658129389458
2,36.4,41.7,79335.65,79334.93,0.469,0.5206658129389458
2,37.6,40.4,79334.685,79334.93,0.469,0.5206658129389458
2,38.9,39.2,79330.55,79334.93,0.469,0.5206658129389458
2,40.1,38.0,79328.185,79334.93,0.319,0.33445298608760243
2,41.2,36.8,79324.74999999999,79334.93,0.319,0.33445298608760243
2,42.4,35.7,79324.74999999999,79334.93,0.319,0.33445298608760243
2,43.6,34.5,79324.74999999999,79334.93,0.312,0.32464881738504026
2,44.8,33.3,79324.74999999999,79334.93,0.307,0.31760511408631537
2,46.0,32.1,79328.04999999999,79334.93,0.307,0.31760511408631537
2,47.1,30.9,79328.04999999999,79334.93,0.301,0.30911187611096513
2,48.3,29.8,79328.04999999999,79334.93,0.301,0.30911187611096513
2,49.5,28.6,79328.11750000001,79334.93,0.295,0.3005785338053708
2,50.7,27.4,79328.11750000001,79334.93,0.289,0.2920100272357623
2,51.8,26.2,79328.04999999999,79334.93,0.289,0.2920100272357623
2,53.0,25.1,79328.185,79334.93,0.2815,0.28125795829344014
2,54.2,23.9,79328.185,79334.93,0.2815,0.28125795829344014
2,55.4,22.7,79328.185,79334.93,0.2735,0.26974988482783685
